emp_no,first_name,last_name,from_date,to_date,title
78171,Teiji,Hinsberger,1/25/1997,1/25/1998,Senior Staff
78363,Susumu,Fritzsche,6/23/1998,6/23/1999,Engineer
78469,Leucio,Cappelli,8/22/1997,8/22/1998,Staff
78871,Conor,Ghandeharizadeh,5/25/1985,5/25/1986,Senior Engineer
79043,Katsuo,Hockney,11/7/1999,11/6/2000,Technique Leader
79171,Guiseppe,Ellozy,1/12/1991,1/12/1992,Senior Engineer
79190,Tsuneo,Servi,6/30/1999,6/29/2000,Staff
79239,Denny,Griswold,5/18/1989,5/18/1990,Senior Engineer
79310,Jeong,Cunliffe,10/27/1996,10/26/1997,Senior Staff
79606,Arnd,Peir,12/11/1986,12/11/1987,Senior Engineer
79640,Marl,Litzkow,10/12/1991,10/11/1992,Staff
79722,Make,Remmers,8/7/1997,8/7/1998,Staff
79763,Sanjoy,Barreiro,4/9/1988,4/9/1989,Senior Staff
79895,Fei,Murtagh,1/19/1986,1/19/1987,Senior Staff
80067,Kazuhisa,Weiland,11/9/1985,11/9/1986,Senior Staff
80203,Shakhar,Baik,12/1/1993,12/1/1994,Staff
80432,Stella,Figueira,3/14/1990,3/14/1991,Senior Staff
80656,Kwan,Gide,6/24/1998,6/24/1999,Engineer
80731,Shaowen,Eldridge,12/5/1987,12/4/1988,Senior Staff
80745,Rimli,Huttel,12/14/1989,12/14/1990,Staff
80850,Koldo,Luit,4/16/1995,4/15/1996,Engineer
80889,Shigeo,Linnainmaa,7/30/1985,7/30/1986,Senior Engineer
80948,Harjit,Bardell,5/24/1991,5/23/1992,Engineer
81105,Jaewon,Boissier,5/24/1992,5/24/1993,Engineer
81162,Marco,Klerer,11/1/1993,11/1/1994,Engineer
81545,Larisa,Kornyak,3/10/1996,3/10/1997,Technique Leader
81619,Gen,Aloisi,3/12/1985,3/12/1986,Engineer
81644,Divine,Ghandeharizadeh,11/28/1997,11/28/1998,Staff
81995,Sreekrishna,Brender,3/22/1990,3/22/1991,Engineer
82069,Yechezkel,Perfilyeva,11/3/1994,11/3/1995,Engineer
82098,Poornachandra,Wilharm,4/20/1991,4/19/1992,Engineer
82351,Stevo,Thambidurai,10/27/1989,10/27/1990,Senior Staff
82511,Uwe,Koblick,4/4/1998,4/4/1999,Engineer
82919,Shigeu,Claffy,2/3/1998,2/3/1999,Engineer
82928,Alselm,Rikino,11/16/1990,11/16/1991,Engineer
83280,Francesca,Ellozy,8/8/1999,8/7/2000,Senior Engineer
83289,Shigeichiro,Engelmann,1/9/1994,1/9/1995,Engineer
83509,Breannda,Collavizza,10/12/1989,10/12/1990,Engineer
83544,Leaf,Baak,9/5/1994,9/5/1995,Senior Staff
83714,Ohad,Kilgore,7/1/1990,7/1/1991,Engineer
83805,Manohar,Harllee,3/11/1987,3/10/1988,Senior Engineer
83922,Shunichi,Solovay,6/7/1986,6/7/1987,Engineer
83941,Zsolt,Hagimont,10/8/1996,10/8/1997,Senior Staff
84029,Babette,Eugenio,9/21/1997,9/21/1998,Staff
84163,Zejun,Roisin,5/26/1997,5/26/1998,Senior Staff
84179,Shuichi,Nanard,3/14/1989,3/14/1990,Senior Engineer
84236,Eberhardt,Barriga,6/4/1987,6/3/1988,Senior Staff
84256,Denny,Cheshire,11/23/1989,11/23/1990,Staff
84315,Kristina,Baumann,9/26/1996,9/26/1997,Assistant Engineer
84451,Shiv,Aumann,6/14/1998,6/14/1999,Senior Engineer
84494,Janalee,Loncour,4/12/1986,4/12/1987,Staff
84508,Tommaso,Vidya,5/2/1998,5/2/1999,Engineer
84840,Sverrir,Neimat,11/3/1996,11/3/1997,Staff
84922,Parke,Unno,7/1/1996,7/1/1997,Engineer
84942,Shin,Fujisaki,2/23/1988,2/22/1989,Technique Leader
85216,Ferdinand,Rosiles,7/8/1997,7/8/1998,Senior Staff
85288,Younwoo,Luders,3/31/1995,3/30/1996,Engineer
85414,Chiradeep,Callaway,7/30/1999,7/29/2000,Staff
85445,Yongdong,Pollock,3/17/1998,3/17/1999,Staff
85702,Udi,Merks,8/15/1997,8/15/1998,Engineer
85874,Pasqua,Taubman,6/23/1986,6/23/1987,Senior Staff
86213,Kristine,Clemencon,4/22/1990,4/22/1991,Senior Staff
86324,Maia,Berstel,7/17/1988,7/17/1989,Engineer
86354,Ronghao,Segond,9/13/1993,9/13/1994,Senior Engineer
86422,Jaewon,Thummel,9/14/1985,9/14/1986,Senior Staff
86546,Oldrich,Woycyznski,5/15/1985,5/15/1986,Engineer
86655,Zhenhua,Lorys,8/21/1995,8/20/1996,Engineer
86672,JoAnne,Anido,9/15/1995,9/14/1996,Staff
87129,Keung,Neiman,4/13/1997,4/13/1998,Staff
87353,Quingbo,Coombs,1/17/1999,1/17/2000,Senior Engineer
87458,Mikhail,Gimbel,12/22/1993,12/22/1994,Senior Staff
87714,Khun,Janetzko,9/13/1989,9/13/1990,Assistant Engineer
87729,Yongmin,Roccetti,12/10/1986,12/10/1987,Senior Staff
87783,Conor,Thorensen,2/24/1988,2/23/1989,Senior Engineer
88103,Goo,Bresenham,1/31/1999,1/31/2000,Senior Staff
88357,Manohar,Karcich,8/7/1998,8/7/1999,Staff
88411,Lena,Cannane,1/28/2000,1/27/2001,Engineer
88422,Jungsoon,Birsak,4/3/1985,4/3/1986,Technique Leader
88647,Vasiliy,Ratnaker,8/9/1995,8/8/1996,Engineer
88958,Vojin,Coombs,7/23/1995,7/22/1996,Senior Staff
88965,Mang,Hedayat,5/22/1995,5/21/1996,Engineer
89048,Otmar,Birjandi,3/23/1985,3/23/1986,Engineer
89090,Tetsushi,Theuretzbacher,2/1/1990,2/1/1991,Senior Staff
89161,Conal,Yetto,1/12/1991,1/12/1992,Senior Staff
89207,Along,Erol,10/16/1992,10/16/1993,Senior Staff
89346,Mansur,Comyn,8/31/1999,8/30/2000,Engineer
89487,Kazuhira,Seiwald,3/25/1995,3/24/1996,Engineer
89590,Guther,Rothenberg,8/8/1991,8/7/1992,Senior Staff
89664,Pranjal,Rossi,7/7/1998,7/7/1999,Staff
89680,Aiman,Mawatari,5/1/1988,5/1/1989,Engineer
89806,Xiadong,Shinomoto,5/24/1997,5/24/1998,Engineer
89922,Alexius,Ibel,4/24/1988,4/24/1989,Engineer
89941,Arnould,Weedman,7/28/1989,7/28/1990,Senior Staff
90077,Vivian,Guerreiro,7/8/1991,7/7/1992,Assistant Engineer
90084,Renny,Bale,11/22/1989,11/22/1990,Engineer
90116,Brigham,Luiz,4/10/1990,4/10/1991,Assistant Engineer
90211,Bader,Denis,10/6/1997,10/6/1998,Engineer
90292,Koichi,Assaf,5/26/1990,5/26/1991,Engineer
90366,Magy,Eiron,8/3/1998,8/3/1999,Senior Staff
90518,Fumiko,Chepyzhov,1/28/1988,1/27/1989,Senior Staff
90614,Yonghoan,Trogemann,9/23/1988,9/23/1989,Assistant Engineer
90692,Rajmohan,DasSarma,9/14/1985,9/14/1986,Senior Staff
91172,Kazuhisa,Melter,7/16/1987,7/15/1988,Senior Staff
91182,Lucien,Schwartzburd,8/25/1988,8/25/1989,Engineer
91229,Yahiko,Hebden,10/3/1996,10/3/1997,Engineer
91256,Gunilla,Milicic,1/9/1998,1/9/1999,Staff
91308,Remmert,Plumb,6/14/1986,6/14/1987,Engineer
91333,Lobel,Stafford,11/29/1998,11/29/1999,Staff
91415,Jamaludin,Nilsson,1/15/1987,1/15/1988,Senior Staff
91462,Siamak,Janocha,8/26/1997,3/21/1998,Engineer
91648,Dmitry,Msuda,10/22/1988,10/22/1989,Senior Staff
91934,Nikolaus,Swen,1/28/2000,1/27/2001,Engineer
91973,Jianwen,Jakobus,8/24/1998,8/24/1999,Senior Engineer
92438,Aria,Kilgore,2/27/1989,2/27/1990,Engineer
92443,Girolamo,Bellmore,12/4/1996,12/4/1997,Senior Staff
92454,Visit,McFarlan,10/22/1987,10/21/1988,Engineer
92577,Zhanqiu,Farrow,1/10/1999,1/10/2000,Assistant Engineer
92598,Ranga,Merro,5/11/1996,5/11/1997,Assistant Engineer
92685,Mang,Atchley,6/7/1995,6/6/1996,Senior Staff
92841,Claude,Candan,8/4/1993,8/4/1994,Senior Staff
92846,Anyuan,Kropatsch,9/5/1986,9/5/1987,Senior Staff
92920,Huei,Hutter,1/28/1993,1/28/1994,Engineer
93040,Jaques,Kabayashi,3/13/1992,3/13/1993,Senior Engineer
93220,Richara,Walston,8/27/1996,8/27/1997,Senior Engineer
93278,Magdalena,Penn,1/4/1997,1/4/1998,Engineer
93549,Arie,Coullard,4/15/1991,4/14/1992,Senior Staff
93600,Kristina,Neimat,4/18/1988,4/18/1989,Technique Leader
93794,Rimli,Werthner,5/27/1994,5/27/1995,Engineer
94045,Gift,Brender,10/31/1996,10/31/1997,Senior Engineer
94131,Bernardo,Vasanthakumar,5/1/1997,7/20/1997,Staff
94331,Ramzi,Cronau,9/3/1999,9/2/2000,Technique Leader
94416,Aran,Cesareni,2/10/1990,2/10/1991,Senior Staff
94442,Bilhanan,Marrakchi,2/3/1998,2/3/1999,Staff
94690,Kazuyasu,Sridhar,12/22/1999,12/21/2000,Staff
94761,Hitofumi,Zaccaria,11/22/1988,11/22/1989,Engineer
94787,Shigenori,Stanfel,4/25/1993,4/25/1994,Staff
94944,Heping,Matheson,6/24/1988,6/24/1989,Engineer
95181,Yishai,Cappelli,1/30/1997,1/30/1998,Staff
95286,Kristin,Guerreiro,8/23/1989,8/23/1990,Engineer
95314,Rasiah,Koblick,8/21/1991,8/20/1992,Senior Staff
95406,Alair,Lyonns,7/12/1997,7/12/1998,Engineer
95416,Gianluca,Ramaiah,11/29/1993,11/29/1994,Engineer
95509,Kristinn,Loncour,2/8/1995,2/8/1996,Engineer
95692,Abdulah,Hofstetter,11/24/1999,7/24/2000,Engineer
95920,Nobuyoshi,Hegner,9/7/1994,9/7/1995,Senior Staff
96100,Pranay,Rebaine,2/1/1998,2/1/1999,Senior Engineer
96571,Kokou,Garrabrants,11/5/1997,11/5/1998,Senior Engineer
96579,Mohan,Tasistro,2/10/1996,2/9/1997,Engineer
96767,Arumugam,Vecchio,8/14/1985,8/14/1986,Engineer
97018,Jeanna,Chinen,1/1/1989,1/1/1990,Engineer
97092,Anwar,Riexinger,12/31/1991,12/30/1992,Engineer
97623,Haldon,Janetzko,9/11/1990,9/11/1991,Senior Staff
97661,Avishai,Hegner,5/8/1993,5/8/1994,Senior Staff
97697,Moie,Karunanithi,2/7/1990,2/7/1991,Engineer
98288,Sumali,Huttel,9/12/1989,9/12/1990,Senior Staff
98306,Ziya,Kadhim,11/2/1995,11/1/1996,Senior Engineer
98514,Giao,Junot,7/1/1999,6/30/2000,Staff
98639,Florina,Assaf,5/18/1996,5/18/1997,Staff
99057,Shugo,Reeken,6/21/1999,6/20/2000,Staff
99373,Xiaobin,Christianini,12/25/1985,12/25/1986,Senior Staff
99377,Carrsten,Francisci,6/16/1991,6/15/1992,Senior Engineer
99590,Dhritiman,Anily,12/16/1998,12/16/1999,Staff
99654,Mahendra,Motley,9/28/1985,9/28/1986,Senior Staff
100865,Hisao,Peral,10/3/1990,10/3/1991,Engineer
100877,Kazuhide,Harnett,2/2/1995,2/2/1996,Engineer
100916,Heejo,Aamodt,4/22/1992,4/22/1993,Engineer
101063,Nectarios,Munos,8/31/1994,8/14/1995,Senior Engineer
101487,Abdelaziz,Sury,1/31/1991,1/31/1992,Senior Staff
101647,Mori,Homond,5/10/1994,5/10/1995,Senior Staff
101902,Mantis,Millington,3/18/1991,3/17/1992,Senior Staff
102620,Adin,Templeman,12/10/1997,12/10/1998,Engineer
103166,Waiman,Dalton,5/25/1990,5/25/1991,Engineer
103172,Doowon,Highland,3/8/1988,3/8/1989,Engineer
103196,Djenana,Albarhamtoshy,7/16/1988,7/16/1989,Senior Staff
103310,Visit,Swen,10/2/1995,10/1/1996,Senior Staff
103316,Susanne,Peternell,7/27/1994,7/27/1995,Engineer
103342,Beshir,Hellwagner,2/3/1998,2/3/1999,Engineer
103756,Heping,Halloran,4/8/1992,4/8/1993,Assistant Engineer
104133,Pranjal,Zyda,7/3/1991,7/2/1992,Senior Staff
104845,Werner,Lodder,6/17/1992,6/17/1993,Senior Staff
104962,Zongyan,Auyong,11/2/1987,11/1/1988,Engineer
104988,Parviz,Litzler,8/8/1992,8/8/1993,Engineer
105191,Jaber,Kleiser,12/13/1986,9/22/1987,Engineer
105342,Kwun,Reeker,7/29/1999,7/28/2000,Technique Leader
105356,Diederik,Matzov,5/12/1988,5/12/1989,Engineer
105432,Mohamadou,Stafford,9/12/1995,9/11/1996,Engineer
105520,Haldun,Lienhardt,1/29/1987,1/29/1988,Senior Staff
105589,Yechiam,Egerstedt,12/31/1995,12/30/1996,Engineer
105731,Sachem,Cromarty,8/20/1990,8/20/1991,Assistant Engineer
105936,Vidar,Thibadeau,3/2/1995,3/1/1996,Staff
106096,Naftali,Schurmann,12/2/1992,12/2/1993,Engineer
106242,Nevio,Thisen,3/25/1988,3/25/1989,Senior Staff
106514,Otilia,Speek,7/30/1988,7/30/1989,Senior Engineer
106695,Lijie,Garrabrants,10/2/1985,10/2/1986,Senior Staff
106710,Babette,Anandan,11/22/1986,11/22/1987,Senior Staff
106958,Horward,Begiun,11/6/1985,11/6/1986,Engineer
107486,Siamak,Luiz,2/11/1987,2/11/1988,Senior Engineer
107737,Fabrizio,Chleq,7/31/1999,7/30/2000,Senior Engineer
107792,Shahab,Crooks,3/18/1992,3/18/1993,Senior Staff
107828,Ramya,Walston,2/3/1989,2/3/1990,Senior Staff
108091,Hisao,Ghemri,11/14/1985,11/14/1986,Senior Staff
108198,Randi,Samarati,10/20/1992,10/20/1993,Senior Staff
108316,Shai,Stellhorn,5/21/1992,5/21/1993,Senior Engineer
108988,Oksana,Baek,7/20/1989,7/20/1990,Senior Staff
109062,Jamaludin,Kandlur,6/19/1992,6/19/1993,Senior Engineer
109211,Gor,Delgrande,11/7/1995,11/6/1996,Engineer
109252,Moty,Winter,4/28/1991,4/27/1992,Technique Leader
109278,Bangqing,Schach,3/22/1988,3/22/1989,Senior Staff
109547,Chenye,Zizka,2/22/1986,2/22/1987,Senior Staff
109552,Menkae,Etalle,5/21/1997,5/21/1998,Assistant Engineer
109553,Xiaobin,DuBourdieux,9/16/1985,9/16/1986,Staff
109598,Stamatina,Auyong,7/5/1988,7/5/1989,Senior Staff
109611,Jamaludin,Lalonde,7/9/1994,7/9/1995,Staff
109620,Mani,Cannata,6/21/1989,6/21/1990,Senior Staff
109652,Huan,Perko,7/31/1988,7/31/1989,Senior Staff
109703,Arco,Walston,8/16/1999,8/15/2000,Engineer
109741,Hatem,Fadgyas,11/13/1991,11/12/1992,Senior Engineer
109953,Godehard,Chorvat,4/10/1988,4/10/1989,Senior Staff
200052,Slavian,Cincotta,5/30/1992,5/30/1993,Senior Engineer
200176,Shahab,Luit,11/20/1985,11/20/1986,Senior Staff
200267,Chuanti,Luff,9/21/1994,9/21/1995,Senior Staff
200312,Akemi,Fujisaki,6/25/1998,6/25/1999,Senior Engineer
200363,Kirk,Quaggetto,6/30/1987,6/29/1988,Engineer
200735,Dinah,Denos,9/21/1992,9/21/1993,Senior Staff
200789,Susumu,Camurati,12/15/1991,12/14/1992,Senior Staff
201180,Odinaldo,Bridgland,6/9/1989,6/9/1990,Assistant Engineer
201229,Alejandra,Khasidashvili,7/30/1994,7/30/1995,Staff
201708,Anneli,Perl,9/8/1992,9/8/1993,Senior Staff
201709,Fan,Kakkad,2/25/1988,2/24/1989,Senior Staff
201739,Genta,Terekhov,7/21/1998,7/21/1999,Assistant Engineer
201801,Waiman,Genin,10/30/1988,10/29/1989,Engineer
201915,Sudharsan,DeMori,3/30/1992,3/30/1993,Engineer
202031,Annemarie,Peternell,3/13/1994,3/13/1995,Engineer
202291,Ortrun,Schmiedel,7/18/1997,7/18/1998,Engineer
202403,Gully,Perko,7/7/1999,7/6/2000,Engineer
202414,Zvonko,Murthy,1/7/1992,1/6/1993,Senior Staff
202552,Morris,Saoudi,11/22/1991,11/21/1992,Engineer
202581,Dharmaraja,Merlo,6/5/1987,6/4/1988,Staff
202826,Kerhong,Matzke,11/14/1986,11/14/1987,Engineer
202882,Isaac,Koshino,9/28/1995,9/27/1996,Senior Engineer
202950,Giordano,Pietrzykowski,3/26/1987,3/25/1988,Senior Staff
203474,Hugh,Jonsson,7/6/1991,7/5/1992,Senior Staff
203495,Zongyan,Gips,5/31/1997,5/31/1998,Technique Leader
203599,Ewing,DiGiano,2/1/2000,1/31/2001,Technique Leader
203697,Claude,Kemmerer,1/16/1994,1/16/1995,Engineer
203720,Sasan,Thimonier,8/21/1996,8/21/1997,Senior Staff
203946,Yefim,Marwedel,3/30/1993,3/30/1994,Senior Staff
204117,Jessie,Nooteboom,8/13/1999,8/12/2000,Staff
204133,Susuma,Bergere,2/25/1996,2/24/1997,Senior Staff
204246,Arve,Worfolk,4/1/1985,4/1/1986,Senior Staff
204425,Gretta,Huttel,10/8/1990,10/8/1991,Senior Engineer
204470,Hein,Lichtner,4/3/1995,4/1/1996,Senior Staff
204471,Franziska,Maginnis,2/17/1986,2/17/1987,Engineer
204764,Susanne,Mandelberg,11/2/1990,11/2/1991,Engineer
205018,Yahiko,Awdeh,8/5/1998,8/5/1999,Engineer
205085,Moni,Kornyak,9/26/1991,9/25/1992,Technique Leader
205174,Leszek,Spinelli,12/10/1998,12/10/1999,Staff
205362,Masasuke,Makinen,7/2/1992,7/2/1993,Staff
205500,Mary,Setiz,1/13/1989,1/13/1990,Senior Engineer
205627,Stabislas,Broder,7/16/1996,7/16/1997,Engineer
205660,Kien,Barreiro,8/25/1997,8/25/1998,Staff
205699,Youjian,Yetto,12/7/1994,12/7/1995,Senior Staff
205789,Limsoon,Skafidas,8/10/1999,8/9/2000,Senior Staff
205863,Aiichiro,Kusalik,10/4/1990,10/4/1991,Engineer
206372,Temple,Joslin,1/5/1993,1/5/1994,Engineer
206748,Yucai,Fabrizio,10/6/1999,10/5/2000,Staff
206836,Guadalupe,Pfau,3/22/1993,3/22/1994,Senior Staff
206865,Vasilii,Cochrane,9/13/1991,9/12/1992,Engineer
206966,Tzu,Sichman,11/17/1987,11/16/1988,Engineer
207021,Jacqueline,Akaboshi,12/6/1997,12/6/1998,Engineer
207068,Zhiguo,Ariola,9/7/1994,9/7/1995,Senior Staff
207204,Kellie,Schrooten,1/17/1991,1/17/1992,Assistant Engineer
207401,Shuji,Barbanera,8/10/1987,8/9/1988,Senior Staff
207551,Baziley,Falck,2/18/1995,2/18/1996,Assistant Engineer
207779,Chinya,Kamble,5/31/1992,5/31/1993,Senior Staff
207980,Remko,Vieth,11/22/1990,11/22/1991,Senior Staff
208147,Manu,Rothenberg,12/6/1988,12/6/1989,Engineer
208330,Shen,Flanders,7/3/1989,7/3/1990,Senior Staff
208639,Larisa,Lukaszewicz,10/10/1989,10/10/1990,Senior Staff
208653,Phillip,Schade,3/3/1989,3/3/1990,Engineer
208784,Pranjal,Juneja,3/21/1985,3/21/1986,Senior Engineer
209101,Xinyu,Edelhoff,10/26/1997,10/25/1998,Senior Engineer
209443,Krassimir,Garnier,1/26/1998,1/26/1999,Senior Staff
209456,Adhemar,Leonhardt,11/1/1998,11/1/1999,Engineer
209565,Dante,Covnot,5/28/1989,5/28/1990,Senior Staff
209681,Tianruo,Bratten,7/28/1996,7/28/1997,Senior Staff
209712,Nimmagadda,Baak,10/30/1987,10/29/1988,Assistant Engineer
209945,Roded,Veevers,10/23/1990,10/23/1991,Engineer
210017,Shalesh,Lovengreen,9/29/1990,9/29/1991,Senior Staff
210292,Lihong,Zeilberger,4/28/1996,4/28/1997,Staff
210449,Gino,Lagarias,6/22/1997,6/22/1998,Engineer
210529,Adam,Besancenot,9/27/1990,9/27/1991,Senior Staff
210610,Arco,Crouzet,9/3/1994,9/3/1995,Assistant Engineer
210752,Saniya,Stenning,12/10/1986,12/10/1987,Senior Staff
210786,Werner,Ranze,6/5/1998,6/5/1999,Staff
211569,Zhonghua,Snyers,10/8/1988,10/8/1989,Senior Staff
211858,Domenico,Ratnaker,3/24/1985,3/24/1986,Engineer
211879,Gao,Ranze,11/24/1994,11/24/1995,Engineer
211967,Anwar,Bain,1/22/1989,1/22/1990,Engineer
212074,Tomokazu,Byoun,7/30/1996,7/30/1997,Engineer
212093,Leni,Henders,11/19/1993,11/19/1994,Senior Staff
212131,Debatosh,Rajala,1/19/1994,4/22/1994,Staff
212154,Sailaja,Holburn,3/4/1991,3/3/1992,Senior Staff
212361,Claudi,Stanfel,1/7/1996,1/6/1997,Engineer
212703,Kien,Bennis,1/6/1993,1/6/1994,Engineer
212810,Qingxiang,Swan,10/4/1990,10/4/1991,Senior Staff
213016,Yongmao,Fontan,7/26/1993,7/26/1994,Engineer
213140,Tru,Danecki,3/31/1997,3/31/1998,Staff
213384,Pranas,Narwekar,9/26/1985,9/26/1986,Engineer
213447,Armond,Perly,9/14/1989,9/14/1990,Engineer
214184,Sivanarayana,Ranka,10/25/1999,10/24/2000,Engineer
214215,Xiaoqiang,Cardazo,5/28/1993,5/28/1994,Senior Staff
214391,Rayond,Klassen,9/11/1993,9/11/1994,Senior Staff
214427,Peer,Molberg,11/17/1996,11/17/1997,Engineer
214539,Ingmar,Kohling,4/25/1995,4/24/1996,Engineer
214634,Shirish,Vickson,10/24/1989,10/24/1990,Engineer
214789,Arfst,Chepyzhov,2/6/1989,2/6/1990,Engineer
214807,Prasadram,Qiwen,9/4/1992,9/4/1993,Assistant Engineer
214866,Gopalakrishnan,Angel,7/5/1997,7/5/1998,Engineer
214995,Dinkar,Hoppenstand,5/4/1994,5/4/1995,Engineer
215419,Flemming,Kroha,1/23/1995,1/23/1996,Staff
215629,Munehiro,Manders,5/18/1987,5/17/1988,Senior Staff
215746,Sven,Speer,7/8/1999,7/7/2000,Staff
215843,Pramod,Loncour,3/31/1987,3/30/1988,Senior Staff
216054,Sahrah,Angiulli,7/31/1986,7/31/1987,Senior Staff
216062,Shuichi,Anick,11/24/1985,11/24/1986,Engineer
216246,Francoise,Rullman,12/30/1997,12/30/1998,Staff
216342,Aiichiro,Cromarty,6/10/1995,6/9/1996,Engineer
216375,Byong,Gustavson,3/12/1985,3/12/1986,Senior Engineer
216502,Xiaocheng,Suermann,12/15/1997,12/15/1998,Engineer
216573,Ashish,Vidya,6/16/1989,6/16/1990,Engineer
216921,Lena,Lenart,12/25/1990,12/25/1991,Senior Staff
217026,Otmar,Engberts,8/16/1993,8/16/1994,Senior Staff
217080,Masami,Puoti,1/21/2000,1/20/2001,Senior Engineer
217272,Yuchang,Eldridge,8/1/1986,8/1/1987,Senior Staff
217286,Yannik,Spelt,9/22/1992,9/22/1993,Technique Leader
217320,Abdelwaheb,Denis,9/10/1993,9/10/1994,Engineer
217363,Horward,Marzano,4/11/1996,4/11/1997,Staff
217387,Jianhao,Molenaar,10/22/1987,10/21/1988,Engineer
217551,Panayotis,Lukaszewicz,6/6/1989,6/6/1990,Engineer
217800,Shay,Servieres,8/6/1998,8/6/1999,Senior Staff
218022,Mokhtar,Poupard,2/2/1992,2/1/1993,Technique Leader
218100,Jiong,Garnham,1/2/1990,1/2/1991,Senior Staff
218299,Almudena,Genin,9/26/1986,9/26/1987,Senior Staff
218829,Eckart,Foong,11/26/1989,11/26/1990,Staff
218831,Unal,DuBourdieux,3/13/1996,3/13/1997,Engineer
219035,Kristine,Bierman,5/13/1988,5/13/1989,Technique Leader
219047,Aemilian,Kusalik,5/27/1987,5/26/1988,Engineer
219052,Marsal,Acton,8/2/1995,8/1/1996,Staff
219417,Subhrajyoti,Denna,7/25/1996,7/25/1997,Staff
219497,Moie,Zastre,10/11/1991,10/10/1992,Technique Leader
219967,Susanna,Reeken,3/16/1998,3/16/1999,Senior Staff
220029,Demos,Asser,11/4/1985,11/4/1986,Senior Engineer
220131,Reinhard,Slaats,6/8/1994,6/8/1995,Engineer
220418,Poorav,Laventhal,8/16/1997,8/16/1998,Staff
220528,Sibyl,Rabehasaina,2/23/1998,2/23/1999,Senior Staff
220582,Poornachandra,Zielinski,2/13/1996,2/12/1997,Senior Staff
220611,Yuping,Babb,1/31/1995,1/31/1996,Senior Staff
220625,Shigenori,Deville,12/24/1992,12/24/1993,Technique Leader
220699,Nahid,Gyimothy,8/18/1995,8/17/1996,Staff
220799,Perla,Orlowska,12/3/1990,12/3/1991,Senior Engineer
221126,Tesuya,dAstous,11/29/1988,11/29/1989,Engineer
221367,Saddek,Farris,11/6/1990,11/6/1991,Senior Staff
221369,Abdulah,Pocchiola,8/28/1996,8/28/1997,Engineer
221435,Djenana,Marrevee,2/6/1994,2/6/1995,Engineer
221699,Szabolcs,Georgatos,8/16/1999,2/6/2000,Engineer
221973,Sangeeta,Kalefeld,6/6/1990,6/6/1991,Senior Staff
222206,Stein,Uludag,1/30/1988,1/29/1989,Senior Staff
222311,Miyeon,Billingsley,12/5/1992,12/5/1993,Senior Engineer
222319,Matt,Chvatal,11/9/1994,11/9/1995,Senior Engineer
222354,Valdiodio,Schlumberger,8/7/1993,8/7/1994,Assistant Engineer
222616,Badri,Schapire,1/19/1998,1/19/1999,Assistant Engineer
222701,Lein,Delaune,6/30/1990,6/30/1991,Senior Staff
222770,Kazuhiko,Kushner,8/1/1995,7/31/1996,Senior Engineer
222878,Annemarie,Zallocco,5/28/1990,5/28/1991,Engineer
222926,Limsoon,Erol,12/31/1997,12/31/1998,Senior Engineer
222952,Gopalakrishnan,Suermann,4/30/1991,4/29/1992,Engineer
222998,Leaf,Awdeh,2/20/1985,2/20/1986,Senior Staff
223593,Hidefumi,Moehrke,3/4/1998,3/4/1999,Staff
223595,Chiranjit,Dredge,9/5/1999,9/4/2000,Technique Leader
224135,Annemarie,Bressoud,6/23/1998,6/23/1999,Engineer
224335,Perry,Chachaty,7/22/1985,7/22/1986,Engineer
224390,TRUE,Shobatake,5/17/1996,5/17/1997,Senior Staff
224934,George,Miake,1/2/1988,1/1/1989,Senior Staff
225438,Remmert,Quaggetto,4/28/1992,4/28/1993,Senior Staff
225601,Masasuke,Genin,6/25/1994,6/25/1995,Assistant Engineer
225788,Ipke,Kieras,12/18/1995,12/17/1996,Engineer
225867,Ramalingam,Remmele,9/3/1999,9/2/2000,Senior Engineer
225964,Mooi,Cooman,6/7/1989,6/7/1990,Engineer
226216,Giordano,Gini,8/14/1993,8/14/1994,Technique Leader
226227,Herbert,Erva,9/6/1986,9/6/1987,Engineer
227354,Gio,Murtha,11/11/1986,11/11/1987,Engineer
227476,Macha,Schnabel,5/11/1988,5/11/1989,Engineer
227681,Mikhail,Rousseau,11/30/1998,11/30/1999,Staff
227899,Garnik,Luce,9/15/1998,9/15/1999,Staff
227901,Francesca,Azuma,6/8/1996,6/8/1997,Senior Staff
228098,IEEE,Kroll,5/10/1997,5/10/1998,Engineer
228248,Yuriy,Plump,9/8/1988,9/8/1989,Senior Staff
228554,Bilhanan,Brendel,12/23/1990,12/23/1991,Senior Staff
228575,Takanari,Pelc,8/18/1990,8/18/1991,Engineer
228766,Nahla,Smailagic,11/22/1991,11/21/1992,Engineer
229098,Berry,Yurek,8/16/1995,8/15/1996,Senior Staff
229207,Filipe,Erol,7/11/1997,7/11/1998,Senior Engineer
229220,Fabrizio,Lichtman,2/9/1987,2/9/1988,Engineer
229248,Harjit,Terekhov,10/19/1995,10/18/1996,Staff
229352,Kwangho,Petereit,8/10/1999,5/6/2000,Engineer
229364,Dulce,Magliocco,2/13/1987,2/23/1987,Staff
229386,Pohua,Tasistro,6/2/1989,6/2/1990,Technique Leader
229391,Paloma,Henseler,6/11/1991,6/10/1992,Engineer
229404,Gilbert,Kilgour,4/5/1996,4/5/1997,Staff
229547,Moni,Schach,7/4/1986,7/4/1987,Senior Staff
229690,Mokhtar,Sherertz,6/9/1988,6/9/1989,Senior Staff
